split,system,query_id,known_labels,known_e_or_s,reciprocal_rank,recall_at_10,hit_rate_at_10,precision_at_10,judged_at_10,recall_at_40,hit_rate_at_40,precision_at_40,judged_at_40,latency_ms
validation,dense,102760,16,16,1.0,0.375,1.0,0.6,0.6,0.8125,1.0,0.325,0.325,74.238
validation,hybrid,102760,16,16,1.0,0.4375,1.0,0.7,0.7,1.0,1.0,0.4,0.4,378.543
validation,bm25,102781,31,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.524
validation,dense,102781,31,21,1.0,0.09523809523809523,1.0,0.2,0.2,0.09523809523809523,1.0,0.05,0.05,40.149
validation,hybrid,102781,31,21,0.5,0.09523809523809523,1.0,0.2,0.2,0.09523809523809523,1.0,0.05,0.05,397.171
validation,bm25,102791,40,21,1.0,0.047619047619047616,1.0,0.1,0.1,0.09523809523809523,1.0,0.05,0.05,51.361
validation,dense,102791,40,21,1.0,0.047619047619047616,1.0,0.1,0.1,0.09523809523809523,1.0,0.05,0.05,255.224
validation,hybrid,102791,40,21,1.0,0.047619047619047616,1.0,0.1,0.1,0.09523809523809523,1.0,0.05,0.05,444.758
validation,bm25,10280,16,9,0.5,0.2222222222222222,1.0,0.2,0.3,0.2222222222222222,1.0,0.05,0.075,6.452
validation,dense,10280,16,9,0.1,0.1111111111111111,1.0,0.1,0.1,0.2222222222222222,1.0,0.05,0.075,30.903
validation,hybrid,10280,16,9,0.5,0.2222222222222222,1.0,0.2,0.3,0.2222222222222222,1.0,0.05,0.075,335.291
validation,bm25,102811,40,35,1.0,0.11428571428571428,1.0,0.4,0.4,0.2857142857142857,1.0,0.25,0.275,11.715
validation,dense,102811,40,35,0.05263157894736842,0.0,0.0,0.0,0.0,0.08571428571428572,1.0,0.075,0.075,33.751
validation,hybrid,102811,40,35,0.16666666666666666,0.08571428571428572,1.0,0.3,0.3,0.08571428571428572,1.0,0.075,0.075,315.115
validation,bm25,102820,47,43,0.5,0.09302325581395349,1.0,0.4,0.4,0.27906976744186046,1.0,0.3,0.3,60.334
