split,system,query_id,latency_ms
validation,dense,109809,30.367
validation,hybrid,109809,227.667
validation,bm25,109927,12.828
validation,dense,109927,45.803
validation,hybrid,109927,248.457
validation,bm25,109963,11.728
validation,dense,109963,30.293
validation,hybrid,109963,428.291
validation,bm25,109978,22.741
validation,dense,109978,36.718
validation,hybrid,109978,161.141
validation,bm25,110009,24.058
validation,dense,110009,30.857
validation,hybrid,110009,338.570
validation,bm25,110067,6.364
validation,dense,110067,31.932
validation,hybrid,110067,382.996
validation,bm25,110119,22.111
validation,dense,110119,31.320
validation,hybrid,110119,290.761
validation,bm25,110226,6.005
validation,dense,110226,31.059
validation,hybrid,110226,367.274
validation,bm25,110248,12.610
validation,dense,110248,29.730
validation,hybrid,110248,356.994
validation,bm25,110275,4.843
validation,dense,110275,29.738
validation,hybrid,110275,194.667
validation,bm25,110290,6.144
validation,dense,110290,31.269
validation,hybrid,110290,176.105
validation,bm25,110298,18.724
validation,dense,110298,30.649
validation,hybrid,110298,137.770
validation,bm25,110344,13.454
validation,dense,110344,31.356
validation,hybrid,110344,423.103
validation,bm25,110359,38.824
validation,dense,110359,32.167
validation,hybrid,110359,231.387
validation,bm25,110389,4.547
validation,dense,110389,31.304
validation,hybrid,110389,116.890
validation,bm25,110464,7.912
validation,dense,110464,29.057
validation,hybrid,110464,349.513
validation,bm25,110542,29.427
validation,dense,110542,32.120
validation,hybrid,110542,387.290
validation,bm25,110642,9.781
validation,dense,110642,30.140
validation,hybrid,110642,191.112
validation,bm25,110662,9.964
validation,dense,110662,30.615
validation,hybrid,110662,360.087
validation,bm25,110665,13.132
validation,dense,110665,32.086
validation,hybrid,110665,197.769
validation,bm25,110739,17.517
validation,dense,110739,31.270
validation,hybrid,110739,159.121
validation,bm25,110892,14.743
validation,dense,110892,126.334
validation,hybrid,110892,250.538
validation,bm25,110932,25.728
validation,dense,110932,39.720
validation,hybrid,110932,497.227
validation,bm25,11104,17.111
validation,dense,11104,32.252
validation,hybrid,11104,676.429
validation,bm25,111091,15.333
validation,dense,111091,35.588
validation,hybrid,111091,345.870
validation,bm25,111094,12.271
validation,dense,111094,31.379
validation,hybrid,111094,254.304
validation,bm25,111121,14.422
validation,dense,111121,31.684
validation,hybrid,111121,457.505
validation,bm25,111215,12.547
validation,dense,111215,30.551
validation,hybrid,111215,370.453
validation,bm25,111239,13.395
validation,dense,111239,29.601
validation,hybrid,111239,214.454
validation,bm25,111274,11.558
validation,dense,111274,30.076
validation,hybrid,111274,305.797
validation,bm25,111291,19.595
validation,dense,111291,30.089
validation,hybrid,111291,273.499
validation,bm25,111294,25.350
validation,dense,111294,31.097
validation,hybrid,111294,402.568
validation,bm25,1113,26.768
validation,dense,1113,31.333
validation,hybrid,1113,297.493
validation,bm25,111311,25.635
validation,dense,111311,30.831
validation,hybrid,111311,393.058
validation,bm25,111333,20.117
validation,dense,111333,32.172
validation,hybrid,111333,263.323
validation,bm25,111339,25.683
validation,dense,111339,30.794
validation,hybrid,111339,419.790
validation,bm25,111345,13.413
validation,dense,111345,29.812
validation,hybrid,111345,385.997
validation,bm25,11135,22.825
validation,dense,11135,32.329
validation,hybrid,11135,333.835
validation,bm25,111367,16.664
validation,dense,111367,32.020
validation,hybrid,111367,596.426
validation,bm25,111431,24.559
validation,dense,111431,30.531
validation,hybrid,111431,245.108
validation,bm25,111468,25.917
validation,dense,111468,30.272
validation,hybrid,111468,442.585
validation,bm25,111495,26.684
validation,dense,111495,34.084
validation,hybrid,111495,484.427
validation,bm25,111506,28.953
validation,dense,111506,31.943
validation,hybrid,111506,353.759
validation,bm25,111523,27.339
validation,dense,111523,32.463
validation,hybrid,111523,181.612
validation,bm25,111560,10.004
validation,dense,111560,30.803
validation,hybrid,111560,255.586
validation,bm25,111583,5.397
validation,dense,111583,29.937
validation,hybrid,111583,258.911
validation,bm25,111674,5.082
validation,dense,111674,32.019
validation,hybrid,111674,236.727
validation,bm25,111710,32.013
validation,dense,111710,33.597
validation,hybrid,111710,321.621
validation,bm25,111714,4.576
validation,dense,111714,38.627
validation,hybrid,111714,133.431
validation,bm25,111863,21.945
validation,dense,111863,32.355
validation,hybrid,111863,339.451
validation,bm25,111953,11.277
validation,dense,111953,43.109
validation,hybrid,111953,175.616
validation,bm25,111955,38.162
validation,dense,111955,36.556
validation,hybrid,111955,452.726
validation,bm25,112027,15.535
validation,dense,112027,31.508
validation,hybrid,112027,263.769
validation,bm25,112079,36.576
validation,dense,112079,113.300
validation,hybrid,112079,351.269
validation,bm25,112106,13.221
validation,dense,112106,31.422
validation,hybrid,112106,290.170
validation,bm25,112108,9.960
validation,dense,112108,30.808
validation,hybrid,112108,241.582
validation,bm25,112113,10.952
validation,dense,112113,34.617
validation,hybrid,112113,199.238
validation,bm25,112183,28.744
validation,dense,112183,31.554
validation,hybrid,112183,298.024
validation,bm25,11221,7.621
validation,dense,11221,30.604
validation,hybrid,11221,357.510
validation,bm25,112242,25.144
validation,dense,112242,32.463
validation,hybrid,112242,247.732
validation,bm25,112372,4.972
validation,dense,112372,30.479
validation,hybrid,112372,208.262
validation,bm25,112383,36.974
validation,dense,112383,33.263
validation,hybrid,112383,354.276
validation,bm25,112529,13.031
validation,dense,112529,29.387
validation,hybrid,112529,409.225
validation,bm25,112573,16.417
validation,dense,112573,33.284
validation,hybrid,112573,514.938
validation,bm25,112584,11.709
validation,dense,112584,31.369
validation,hybrid,112584,366.206
validation,bm25,112768,25.154
validation,dense,112768,29.473
validation,hybrid,112768,348.119
validation,bm25,112814,26.853
validation,dense,112814,32.701
validation,hybrid,112814,348.059
validation,bm25,112845,11.735
validation,dense,112845,31.638
validation,hybrid,112845,360.641
validation,bm25,112914,7.904
validation,dense,112914,30.282
validation,hybrid,112914,360.168
validation,bm25,113001,8.776
validation,dense,113001,30.398
validation,hybrid,113001,237.790
validation,bm25,113083,10.928
validation,dense,113083,31.821
validation,hybrid,113083,352.946
validation,bm25,113207,7.776
validation,dense,113207,30.568
validation,hybrid,113207,363.279
validation,bm25,113222,11.714
validation,dense,113222,66.633
validation,hybrid,113222,341.372
validation,bm25,113234,9.776
validation,dense,113234,31.393
validation,hybrid,113234,456.436
validation,bm25,113266,31.291
validation,dense,113266,32.572
validation,hybrid,113266,388.834
validation,bm25,11329,8.348
validation,dense,11329,32.180
validation,hybrid,11329,311.037
validation,bm25,113295,6.887
validation,dense,113295,31.731
validation,hybrid,113295,294.994
validation,bm25,113391,29.956
validation,dense,113391,29.661
validation,hybrid,113391,336.010
validation,bm25,113396,12.413
validation,dense,113396,31.544
validation,hybrid,113396,319.954
validation,bm25,113489,23.001
